sample_id,schedule_index,seed,horizon_chunks,mode,generated_local_frame,source_frame_index,rmse,mae,psnr,psnr_status
schedule1_TF_h3_seed7,1,7,3,TF,12,44,0.26532082276720137,0.14642378226833822,11.52457329224773,finite
schedule1_TF_h3_seed7,1,7,3,TF,13,45,0.25348129066878916,0.133129911946502,11.921081804258822,finite
schedule1_TF_h3_seed7,1,7,3,TF,14,46,0.22624276078938688,0.11264259560950762,12.908506165064807,finite
schedule1_TF_h3_seed7,1,7,3,TF,15,47,0.21710349069138155,0.10731309787578643,13.266663873996114,finite
schedule1_TF_h3_seed7,1,7,3,TF,16,48,0.17552903939895026,0.08367276927018945,15.113020477702959,finite
schedule1_AR_h3_seed7,1,7,3,AR,1,33,0.13622702384674215,0.0746260218363517,17.314734626239108,finite
schedule1_AR_h3_seed7,1,7,3,AR,2,34,0.14556860020011755,0.07728389344294821,16.738645883766118,finite
schedule1_AR_h3_seed7,1,7,3,AR,3,35,0.14389669060189209,0.07510108362226948,16.838983880804218,finite
schedule1_AR_h3_seed7,1,7,3,AR,4,36,0.12531169853301846,0.0674741905168877,18.040167666920258,finite
schedule1_AR_h3_seed7,1,7,3,AR,5,37,0.16787214909504963,0.08964937759637337,15.5004269941699,finite
schedule1_AR_h3_seed7,1,7,3,AR,6,38,0.2558495933996909,0.14457757857241424,11.840305377582512,finite
schedule1_AR_h3_seed7,1,7,3,AR,7,39,0.28809606688005,0.16767311622755918,10.80925341432584,finite
schedule1_AR_h3_seed7,1,7,3,AR,8,40,0.31312618308618556,0.18310844747326627,10.085612317772377,finite
schedule1_AR_h3_seed7,1,7,3,AR,9,41,0.3272531663774603,0.19386448727662753,9.702322853765311,finite
schedule1_AR_h3_seed7,1,7,3,AR,10,42,0.34345413002673525,0.20692232475684827,9.282625137532175,finite
schedule1_AR_h3_seed7,1,7,3,AR,11,43,0.35022136270811005,0.21116047690078213,9.113147329341263,finite
schedule1_AR_h3_seed7,1,7,3,AR,12,44,0.31389152990286523,0.17941957198839495,10.06440806421369,finite
schedule1_AR_h3_seed7,1,7,3,AR,13,45,0.19845404249902487,0.10290334500743843,14.0468010021922,finite
schedule1_AR_h3_seed7,1,7,3,AR,14,46,0.18609193725510095,0.09831568871203682,14.605448859950378,finite
schedule1_AR_h3_seed7,1,7,3,AR,15,47,0.20297931667125688,0.10653175584647319,13.850964277517559,finite
schedule1_AR_h3_seed7,1,7,3,AR,16,48,0.18885442405373157,0.100011060477262,14.477456740995084,finite
schedule1_TF_h4_seed8,1,8,4,TF,1,49,0.09168845531602736,0.04050100252850323,20.753706876169893,finite
schedule1_TF_h4_seed8,1,8,4,TF,2,50,0.09269366465838136,0.04301170918695618,20.6589989520462,finite
schedule1_TF_h4_seed8,1,8,4,TF,3,51,0.08912020294639678,0.041241165378683796,21.000476663694204,finite
schedule1_TF_h4_seed8,1,8,4,TF,4,52,0.09020548437919801,0.04401031431053326,20.89534114201824,finite
schedule1_TF_h4_seed8,1,8,4,TF,5,53,0.08404601280194225,0.04148381495133909,21.509657699026462,finite
schedule1_TF_h4_seed8,1,8,4,TF,6,54,0.12383786378413773,0.05689849431180486,18.142930964419218,finite
schedule1_TF_h4_seed8,1,8,4,TF,7,55,0.1410842251557843,0.06376532111887201,17.010430853302537,finite
schedule1_TF_h4_seed8,1,8,4,TF,8,56,0.14850662599414347,0.06817913146020516,16.565083375622745,finite
schedule1_TF_h4_seed8,1,8,4,TF,9,57,0.15865315154411586,0.07939802701766989,15.991025929875258,finite
schedule1_TF_h4_seed8,1,8,4,TF,10,58,0.18483776678016664,0.09988846788221888,14.66418574581817,finite
schedule1_TF_h4_seed8,1,8,4,TF,11,59,0.1997906461256809,0.11272258664092287,13.98849697196006,finite
schedule1_TF_h4_seed8,1,8,4,TF,12,60,0.2221714845087157,0.13079024549265958,13.066233661748601,finite
schedule1_TF_h4_seed8,1,8,4,TF,13,61,0.2188530909854841,0.1327139003795376,13.1969463044389,finite
schedule1_TF_h4_seed8,1,8,4,TF,14,62,0.21805219541495233,0.13027450084035289,13.228790727226878,finite
schedule1_TF_h4_seed8,1,8,4,TF,15,63,0.2154007078445035,0.12730775324355173,13.335057477357141,finite
schedule1_TF_h4_seed8,1,8,4,TF,16,64,0.21482560017454919,0.12407176186547986,13.358279324248096,finite
schedule1_AR_h4_seed8,1,8,4,AR,1,49,0.18442791682493723,0.09873420045985644,14.683466784371987,finite
